articleID|source|title|author|publish_date|location|sentence_index|sentence
0|The Orb|BUMP OF PROTESTS IN ABILA IN RESPONSE TO THE CALLS TO THE ACTION||2012-09-08|ABILA, Kronos|0|The thousands of people striped the roads Thursday in a posting of solidarity anti-government.
0|The Orb|BUMP OF PROTESTS IN ABILA IN RESPONSE TO THE CALLS TO THE ACTION||2012-09-08|ABILA, Kronos|1|Among the demonstrators was Mestache Vardshvna, 23, of the Western coast of Kronos.
0|The Orb|BUMP OF PROTESTS IN ABILA IN RESPONSE TO THE CALLS TO THE ACTION||2012-09-08|ABILA, Kronos|2|"We try to obtain the attention of our government," it said.
0|The Orb|BUMP OF PROTESTS IN ABILA IN RESPONSE TO THE CALLS TO THE ACTION||2012-09-08|ABILA, Kronos|3|"It is important, thus I took leave of work to be part of this important event.
0|The Orb|BUMP OF PROTESTS IN ABILA IN RESPONSE TO THE CALLS TO THE ACTION||2012-09-08|ABILA, Kronos|4|"It was one of much which used their power of free speech to express their concern with the current lack of transparency of government with public moneys.
0|The Orb|BUMP OF PROTESTS IN ABILA IN RESPONSE TO THE CALLS TO THE ACTION||2012-09-08|ABILA, Kronos|5|"They must realize that we know what they make," additional Vardshvna.
0|The Orb|BUMP OF PROTESTS IN ABILA IN RESPONSE TO THE CALLS TO THE ACTION||2012-09-08|ABILA, Kronos|6|"You cannot simply steal our money and to think you can leave with it."The
0|The Orb|BUMP OF PROTESTS IN ABILA IN RESPONSE TO THE CALLS TO THE ACTION||2012-09-08|ABILA, Kronos|7|posters with coloured images of Elian Karel and Juliana Vann were recalls of the heavy toll already paid by chiefs and the innocent ones.
0|The Orb|BUMP OF PROTESTS IN ABILA IN RESPONSE TO THE CALLS TO THE ACTION||2012-09-08|ABILA, Kronos|8|Karel was the former chief of the guards of Kronos before his untimely death in 2009.
0|The Orb|BUMP OF PROTESTS IN ABILA IN RESPONSE TO THE CALLS TO THE ACTION||2012-09-08|ABILA, Kronos|9|Its death, thought with being a murder by, encouraged much cancel gatherings to bring the message of the guards of Kronos to the public.
0|The Orb|BUMP OF PROTESTS IN ABILA IN RESPONSE TO THE CALLS TO THE ACTION||2012-09-08|ABILA, Kronos|10|Juliana Vann died in 1998 of the cancer caused by environmental toxins in its drinking water.
