,sender,recipients,date,titles,subject,confidence
0,varja.lagos,varja.lagos,2014-01-06 10:28:00,patrol schedule changes,Operational Info,0.592
1,varja.lagos,hennie.osvaldo,2014-01-06 10:28:00,patrol schedule changes,Operational Info,0.592
2,varja.lagos,loreto.bodrogi,2014-01-06 10:28:00,patrol schedule changes,Operational Info,0.592
3,varja.lagos,inga.ferro,2014-01-06 10:28:00,patrol schedule changes,Operational Info,0.592
4,brand.tempestad,birgitta.frente,2014-01-06 10:35:00,wellhead flow rate data,Operational Info,0.701
5,brand.tempestad,lars.azada,2014-01-06 10:35:00,wellhead flow rate data,Operational Info,0.701
6,brand.tempestad,felix.balas,2014-01-06 10:35:00,wellhead flow rate data,Operational Info,0.701
7,isak.baza,isak.baza,2014-01-06 10:43:00,re: gt-seismicprocessorpro bug report,Operational Info,0.524
8,isak.baza,lucas.alcazar,2014-01-06 10:43:00,re: gt-seismicprocessorpro bug report,Operational Info,0.524
9,lucas.alcazar,isak.baza,2014-01-06 10:50:00,re: gt-seismicprocessorpro bug report,Operational Info,0.524
10,lucas.alcazar,lucas.alcazar,2014-01-06 10:50:00,re: gt-seismicprocessorpro bug report,Operational Info,0.524
11,linnea.bergen,rachel.pantanal,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
12,linnea.bergen,lars.azada,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
13,linnea.bergen,felix.balas,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
14,linnea.bergen,isande.borrasca,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
15,linnea.bergen,axel.calzas,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
16,linnea.bergen,gustav.cazar,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
17,linnea.bergen,lidelse.dedos,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
18,linnea.bergen,birgitta.frente,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
19,linnea.bergen,vira.frente,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
20,linnea.bergen,adra.nubarron,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
21,linnea.bergen,marin.onda,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
22,linnea.bergen,kare.orilla,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
23,linnea.bergen,elsa.orilla,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
24,linnea.bergen,brand.tempestad,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
25,linnea.bergen,ingrid.barranco,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
26,linnea.bergen,ada.campo-corrente,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
27,linnea.bergen,sten.sanjorge jr.,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
28,linnea.bergen,orhan.strum,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
29,linnea.bergen,willem.vasco-pais,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
30,linnea.bergen,bertrand.ovan,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
31,linnea.bergen,albina.hafon,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
32,linnea.bergen,benito.hawelon,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
33,linnea.bergen,claudio.hawelon,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
34,linnea.bergen,henk.mies,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
35,linnea.bergen,valeria.morlun,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
36,linnea.bergen,adan.morlun,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
37,linnea.bergen,cecilia.morluniau,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
38,linnea.bergen,irene.nant,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
39,linnea.bergen,dylan.scozzese,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
40,linnea.bergen,lucas.alcazar,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
41,linnea.bergen,isak.baza,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
42,linnea.bergen,linnea.bergen,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
43,linnea.bergen,nils.calixto,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
44,linnea.bergen,sven.flecha,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
45,linnea.bergen,hideki.cocinaro,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
46,linnea.bergen,inga.ferro,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
47,linnea.bergen,loreto.bodrogi,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
48,linnea.bergen,isia.vann,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
49,linnea.bergen,stenig.fusil,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
50,linnea.bergen,hennie.osvaldo,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
51,linnea.bergen,kanon.herrero,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
52,linnea.bergen,varja.lagos,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
53,linnea.bergen,minke.mies,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
54,linnea.bergen,felix.resumir,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
55,linnea.bergen,edvard.vann,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
56,linnea.bergen,emile.arpa,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
57,linnea.bergen,varro.awelon,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
58,linnea.bergen,mat.bramar,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
59,linnea.bergen,dante.coginian,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
60,linnea.bergen,carla.forluniau,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
61,linnea.bergen,linda.lagos,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
62,linnea.bergen,cornelia.lais,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
63,linnea.bergen,ruscella.mies.haber,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
64,linnea.bergen,anda.ribera,2014-01-06 11:00:00,re: upcoming birthdays,Social Event,0.323
65,loreto.bodrogi,ingrid.barranco,2014-01-06 11:04:00,plants,Greeting / Informal,0.44
66,linnea.bergen,rachel.pantanal,2014-01-06 11:16:00,re: upcoming birthdays,Social Event,0.323
67,linnea.bergen,lars.azada,2014-01-06 11:16:00,re: upcoming birthdays,Social Event,0.323
68,linnea.bergen,felix.balas,2014-01-06 11:16:00,re: upcoming birthdays,Social Event,0.323
69,linnea.bergen,isande.borrasca,2014-01-06 11:16:00,re: upcoming birthdays,Social Event,0.323
70,linnea.bergen,axel.calzas,2014-01-06 11:16:00,re: upcoming birthdays,Social Event,0.323
71,linnea.bergen,gustav.cazar,2014-01-06 11:16:00,re: upcoming birthdays,Social Event,0.323
72,linnea.bergen,lidelse.dedos,2014-01-06 11:16:00,re: upcoming birthdays,Social Event,0.323
73,linnea.bergen,birgitta.frente,2014-01-06 11:16:00,re: upcoming birthdays,Social Event,0.323
74,linnea.bergen,vira.frente,2014-01-06 11:16:00,re: upcoming birthdays,Social Event,0.323
75,linnea.bergen,adra.nubarron,2014-01-06 11:16:00,re: upcoming birthdays,Social Event,0.323
76,linnea.bergen,marin.onda,2014-01-06 11:16:00,re: upcoming birthdays,Social Event,0.323
77,linnea.bergen,kare.orilla,2014-01-06 11:16:00,re: upcoming birthdays,Social Event,0.323
78,linnea.bergen,elsa.orilla,2014-01-06 11:16:00,re: upcoming birthdays,Social Event,0.323
79,linnea.bergen,brand.tempestad,2014-01-06 11:16:00,re: upcoming birthdays,Social Event,0.323
80,linnea.bergen,ingrid.barranco,2014-01-06 11:16:00,re: upcoming birthdays,Social Event,0.323
